"","scientificNameID","scientificName","taxonGroup","organismQuantity","locationID","locality","河川代碼","decimalLatitude","decimalLongitude"
"1",381000,"Candidia barbata","1 魚類",5,1730300003,"月眉橋",173,22.96065,120.52155
"2",381016,"Microphysogobio alticorpus","1 魚類",160,1730300003,"月眉橋",173,22.96065,120.52155
"3",381029,"Onychostoma alticorpus","1 魚類",2,1730300003,"月眉橋",173,22.96065,120.52155
"4",395436,"Opsariichthys kaopingensis","1 魚類",19,1730300003,"月眉橋",173,22.96065,120.52155
"5",381027,"Spinibarbus hollandi","1 魚類",13,1730300003,"月眉橋",173,22.96065,120.52155
"6",381844,"Rhinogobius nantaiensis","1 魚類",41,1730300003,"月眉橋",173,22.96065,120.52155
"7",380994,"Cobitis sinensis","1 魚類",2,1730300002,"四德橋",173,23.08965,120.58793
"8",380997,"Acrossocheilus paradoxus","1 魚類",18,1730300002,"四德橋",173,23.08965,120.58793
"9",395436,"Opsariichthys kaopingensis","1 魚類",10,1730300002,"四德橋",173,23.08965,120.58793
"10",381027,"Spinibarbus hollandi","1 魚類",2,1730300002,"四德橋",173,23.08965,120.58793
"11",381844,"Rhinogobius nantaiensis","1 魚類",23,1730300002,"四德橋",173,23.08965,120.58793
"12",380997,"Acrossocheilus paradoxus","1 魚類",4,1730310003,"圓潭橋",173,22.91185,120.49284
"13",381007,"Cyprinus carpio","1 魚類",2,1730310003,"圓潭橋",173,22.91185,120.49284
"14",381014,"Hypsibarbus pierrei","1 魚類",10,1730310003,"圓潭橋",173,22.91185,120.49284
"15",381016,"Microphysogobio alticorpus","1 魚類",55,1730310003,"圓潭橋",173,22.91185,120.49284
"16",381029,"Onychostoma alticorpus","1 魚類",5,1730310003,"圓潭橋",173,22.91185,120.49284
"17",395436,"Opsariichthys kaopingensis","1 魚類",65,1730310003,"圓潭橋",173,22.91185,120.49284
"18",381019,"Tanakia himantegus","1 魚類",4,1730310003,"圓潭橋",173,22.91185,120.49284
"19",382922,"Tachysurus brevianalis","1 魚類",2,1730310003,"圓潭橋",173,22.91185,120.49284
"20",395254,"Pterygoplichthys pardalis","1 魚類",10,1730310003,"圓潭橋",173,22.91185,120.49284
"21",381033,"Gambusia affinis","1 魚類",15,1730310003,"圓潭橋",173,22.91185,120.49284
"22",381035,"Poecilia reticulata","1 魚類",17,1730310003,"圓潭橋",173,22.91185,120.49284
"23",395408,"Channa striata","1 魚類",2,1730310003,"圓潭橋",173,22.91185,120.49284
"24",395487,"Amphilophus citrinellus","1 魚類",9,1730310003,"圓潭橋",173,22.91185,120.49284
"25",381624,"Oreochromis niloticus","1 魚類",25,1730310003,"圓潭橋",173,22.91185,120.49284
"26",381844,"Rhinogobius nantaiensis","1 魚類",19,1730310003,"圓潭橋",173,22.91185,120.49284
"27",381001,"Carassius auratus","1 魚類",7,1730310002,"金瓜寮大橋",173,23.01295,120.52132
"28",381000,"Candidia barbata","1 魚類",64,1730310002,"金瓜寮大橋",173,23.01295,120.52132
"29",381007,"Cyprinus carpio","1 魚類",1,1730310002,"金瓜寮大橋",173,23.01295,120.52132
"30",381014,"Hypsibarbus pierrei","1 魚類",2,1730310002,"金瓜寮大橋",173,23.01295,120.52132
"31",395436,"Opsariichthys kaopingensis","1 魚類",90,1730310002,"金瓜寮大橋",173,23.01295,120.52132
"32",381624,"Oreochromis niloticus","1 魚類",171,1730310002,"金瓜寮大橋",173,23.01295,120.52132
"33",395570,"Parachromis managuensis","1 魚類",4,1730310002,"金瓜寮大橋",173,23.01295,120.52132
"34",381844,"Rhinogobius nantaiensis","1 魚類",1,1730310002,"金瓜寮大橋",173,23.01295,120.52132
"35",380997,"Acrossocheilus paradoxus","1 魚類",5,1730320001,"旗南橋",173,22.86813,120.49618
"36",381016,"Microphysogobio alticorpus","1 魚類",17,1730320001,"旗南橋",173,22.86813,120.49618
"37",395436,"Opsariichthys kaopingensis","1 魚類",40,1730320001,"旗南橋",173,22.86813,120.49618
"38",381019,"Tanakia himantegus","1 魚類",4,1730320001,"旗南橋",173,22.86813,120.49618
"39",395254,"Pterygoplichthys pardalis","1 魚類",3,1730320001,"旗南橋",173,22.86813,120.49618
"40",382958,"Monopterus albus","1 魚類",2,1730320001,"旗南橋",173,22.86813,120.49618
"41",381624,"Oreochromis niloticus","1 魚類",20,1730320001,"旗南橋",173,22.86813,120.49618
"42",381844,"Rhinogobius nantaiensis","1 魚類",2,1730320001,"旗南橋",173,22.86813,120.49618
"43",381001,"Carassius auratus","1 魚類",1,1730320002,"東門橋",173,22.89501,120.54881
"44",381006,"Chanodichthys erythropterus","1 魚類",2,1730320002,"東門橋",173,22.89501,120.54881
"45",381007,"Cyprinus carpio","1 魚類",1,1730320002,"東門橋",173,22.89501,120.54881
"46",381014,"Hypsibarbus pierrei","1 魚類",6,1730320002,"東門橋",173,22.89501,120.54881
"47",381016,"Microphysogobio alticorpus","1 魚類",6,1730320002,"東門橋",173,22.89501,120.54881
"48",381029,"Onychostoma alticorpus","1 魚類",4,1730320002,"東門橋",173,22.89501,120.54881
"49",395254,"Pterygoplichthys pardalis","1 魚類",9,1730320002,"東門橋",173,22.89501,120.54881
"50",381033,"Gambusia affinis","1 魚類",61,1730320002,"東門橋",173,22.89501,120.54881
"51",395408,"Channa striata","1 魚類",4,1730320002,"東門橋",173,22.89501,120.54881
"52",395487,"Amphilophus citrinellus","1 魚類",32,1730320002,"東門橋",173,22.89501,120.54881
"53",381624,"Oreochromis niloticus","1 魚類",129,1730320002,"東門橋",173,22.89501,120.54881
"54",395570,"Parachromis managuensis","1 魚類",12,1730320002,"東門橋",173,22.89501,120.54881
"55",380994,"Cobitis sinensis","1 魚類",2,1730200001,"高樹大橋",173,22.7815,120.54115
"56",381007,"Cyprinus carpio","1 魚類",4,1730200001,"高樹大橋",173,22.7815,120.54115
"57",381012,"Hemiculter leucisculus","1 魚類",2,1730200001,"高樹大橋",173,22.7815,120.54115
"58",381016,"Microphysogobio alticorpus","1 魚類",1,1730200001,"高樹大橋",173,22.7815,120.54115
"59",381029,"Onychostoma alticorpus","1 魚類",8,1730200001,"高樹大橋",173,22.7815,120.54115
"60",395436,"Opsariichthys kaopingensis","1 魚類",18,1730200001,"高樹大橋",173,22.7815,120.54115
"61",381027,"Spinibarbus hollandi","1 魚類",9,1730200001,"高樹大橋",173,22.7815,120.54115
"62",381624,"Oreochromis niloticus","1 魚類",147,1730200001,"高樹大橋",173,22.7815,120.54115
